Cód. IBGE,Núcleo Regional de Saúde (NRS),Município,Crianças 6 meses a 2 anos - D1,Crianças 3 a 4 anos - D1,Crianças 5 a 11 anos - D1,Adolescentes 12 a 17 anos - D1,Pessoas 18 a 19 anos - D1,Pessoas 20 a 29 anos - D1,Pessoas 30 a 39 anos - D1,Pessoas 40 a 49 anos - D1,Pessoas 50 a 59 anos - D1,Idosos 60 a 69 anos - D1,Idosos 70 a 79 anos - D1,Idosos 80 anos + - D1,Total de Doses Aplicadas - D1,Crianças 6 meses a 2 anos - D2,Crianças 3 a 4 anos - D2,Crianças 5 a 11 anos - D2,Adolescentes 12 a 17 anos - D2,Pessoas 18 a 19 anos - D2,Pessoas 20 a 29 anos - D2,Pessoas 30 a 39 anos - D2,Pessoas 40 a 49 anos - D2,Pessoas 50 a 59 anos - D2,Idosos 60 a 69 anos - D2,Idosos 70 a 79 anos - D2,Idosos 80 anos + - D2,Total de Doses Aplicadas - D2,Crianças 6 meses a 2 anos - 3ª Dose/Ref,Crianças 3 a 4 anos - 3ª Dose,Crianças 3 a 4 anos - Reforço,Crianças 5 a 11 anos - Reforço,Adolescentes 12 a 17 anos - Reforço,Pessoas 18 a 19 anos - Reforço,Pessoas 20 a 29 anos - Reforço,Pessoas 30 a 39 anos - Reforço,Pessoas 40 a 49 anos - Reforço,Pessoas 50 a 59 anos - Reforço,Idosos 60 a 69 anos - Reforço,Idosos 70 a 79 anos - Reforço,Idosos 80 anos + - Reforço,Total de Doses Aplicadas - D3,Pessoas 18 a 19 anos - 2º Reforço,Pessoas 20 a 29 anos - 2º Reforço,Pessoas 30 a 39 anos - 2º Reforço,Pessoas 40 a 49 anos - 2º Reforço,Pessoas 50 a 59 anos - 2º Reforço,Idosos 60 a 69 anos - 2º Reforço,Idosos 70 a 79 anos - 2º Reforço,Idosos 80 anos + - 2º Reforço,Total de Doses Aplicadas - 2º Reforço,Adolescentes 12 a 17 anos - Ref Bivalente,Pessoas 18 a 19 anos - Ref Bivalente,Pessoas 20 a 29 anos - Ref Bivalente,Pessoas 30 a 39 anos - Ref Bivalente,Pessoas 40 a 49 anos - Ref Bivalente,Pessoas 50 a 59 anos - Ref Bivalente,Idosos 60 a 69 anos - Ref Bivalente,Idosos 70 a 79 anos - Ref Bivalente,Idosos 80 anos + - Ref Bivalente,Total de Doses Aplicadas - REF
290010,Centro-Leste,Abaíra,10,88,445,628,194,878,1079,1098,1035,969,583,408,6872,0,60,389,386,154,794,1008,1083,1044,978,586,402,6435,0,0,0,0,395,134,637,893,979,947,918,577,388,5868,15,144,370,580,695,701,442,307,3254,55,5,10,5,15,10,70,50,50,270
290020,Norte,Abaré,304,461,2247,2090,711,2880,2728,2381,1589,1132,741,363,14615,220,258,2129,1974,737,2787,2694,2301,1598,1146,749,363,14349,37,29,54,656,1200,500,2000,2100,2184,1604,1132,764,400,11884,143,692,1023,1183,1045,851,570,321,5828,35,25,157,207,196,225,607,476,254,2182
290030,Nordeste,Acajutiba,142,227,1398,1418,560,1807,2305,1643,1000,1054,670,406,10863,49,73,994,278,464,1634,1944,1703,1645,1222,495,412,9797,7,2,1,175,531,284,1005,797,1072,865,823,591,377,6345,110,383,562,647,833,398,360,123,3416,3,25,120,138,204,216,513,372,257,1848
290035,Nordeste,Adustina,161,202,1253,1364,655,2746,2096,1777,1607,1084,701,399,12429,49,140,1072,1303,553,2563,2078,1784,1628,1083,690,394,12076,32,0,32,0,861,511,1555,1650,1517,1373,1000,687,363,9517,95,668,891,1027,971,775,549,297,5273,3,29,115,183,196,203,174,135,64,1102
290040,Centro-Leste,Água Fria,22,119,1228,1286,471,1754,2041,1876,1214,1678,1033,791,12144,14,51,1016,1129,408,1853,2086,1699,1202,1460,956,598,11391,0,0,0,0,432,248,985,1282,1419,1127,1295,573,319,7680,37,194,343,615,523,570,470,326,3078,0,0,0,0,0,0,0,0,0,0
290060,Sul,Aiquara,9,12,294,336,126,505,598,641,474,533,215,147,3575,8,4,193,304,111,502,567,595,491,439,212,152,3373,0,0,1,7,133,33,175,236,336,315,346,185,121,1880,9,37,67,148,145,166,90,51,713,2,1,20,20,29,37,98,60,41,308
290070,Nordeste,Alagoinhas,231,1230,12543,13131,4444,23451,24386,22803,17550,11232,6198,3330,126525,56,486,9005,11095,4072,21649,23151,21696,16944,11033,6092,3261,118993,0,0,0,0,5784,3711,15054,14722,17286,14228,9663,5296,2761,88505,1119,4695,7402,9622,9282,6981,3788,1883,44772,5,2,34,50,72,61,932,1501,795,3452
290080,Extremo Sul,Alcobaça,220,0,1284,1160,824,1776,3359,3469,2026,2417,1489,808,17328,30,0,582,1217,1734,1766,3142,3045,1940,2206,1656,998,17704,0,0,0,0,152,233,1063,754,1227,1215,1038,1066,642,7390,239,3,247,666,873,669,548,94,3339,0,0,0,0,0,0,0,0,0,0
290090,Sul,Almadina,23,29,429,518,175,698,672,772,763,546,348,204,4696,0,17,193,414,159,576,553,759,681,544,344,242,4272,0,0,0,0,195,211,440,499,584,552,471,268,172,3392,0,20,108,330,283,284,187,102,1314,0,6,47,49,75,93,188,176,54,688
290100,Leste,Amargosa,98,273,3197,3207,1277,5750,5625,4918,3898,2840,1806,1094,30415,24,113,2270,2818,1243,5368,5440,4810,3783,2854,1765,1048,29129,0,0,0,0,1106,619,2912,3360,3614,2977,2440,1568,886,19482,97,756,955,1396,1307,1355,941,515,7322,0,0,0,0,0,0,0,0,0,0
