Sigla,Código,Município,2022,
BA,2900108,Abaíra,505,
BA,2900207,Abaré,780,
BA,2900306,Acajutiba,760,
BA,2900355,Adustina,850,
BA,2900405,Água Fria,793,
BA,2900504,Érico Cardoso,656,
BA,2900603,Aiquara,280,
BA,2900702,Alagoinhas,8365,
BA,2900801,Alcobaça,1367,
BA,2900900,Almadina,323,
BA,2901007,Amargosa,1913,
BA,2901106,Amélia Rodrigues,1327,
BA,2901155,América Dourada,845,
BA,2901205,Anagé,1644,
BA,2901304,Andaraí,661,
BA,2901353,Andorinha,933,
BA,2901403,Angical,815,
BA,2901502,Anguera,622,
BA,2901601,Antas,836,
BA,2901700,Antônio Cardoso,616,
BA,2901809,Antônio Gonçalves,593,
BA,2901908,Aporá,936,
BA,2901957,Apuarema,375,
BA,2902005,Aracatu,880,
BA,2902054,Araças,536,
BA,2902104,Araci,2456,
BA,2902203,Aramari,526,
BA,2902252,Arataca,546,
BA,2902302,Aratuípe,502,
BA,2902401,Aurelino Leal,594,
BA,2902500,Baianópolis,747,
BA,2902609,Baixa Grande,1064,
BA,2902658,Banzaê,714,
BA,2902708,Barra,2463,
BA,2902807,Barra da Estiva,1234,
BA,2902906,Barra do Choça,1908,
BA,2903003,Barra do Mendes,816,
BA,2903102,Barra do Rocha,379,
BA,2903201,Barreiras,7723,
BA,2903235,Barro Alto,851,
BA,2903276,Barrocas,781,
BA,2903300,Governador Lomanto Júnior,362,
BA,2903409,Belmonte,1146,
BA,2903508,Belo Campo,1098,
BA,2903607,Biritinga,871,
BA,2903706,Boa Nova,754,
BA,2903805,Boa Vista do Tupim,981,
BA,2903904,Bom Jesus da Lapa,3155,
BA,2903953,Bom Jesus da Serra,561,
BA,2904001,Boninal,747,
BA,2904050,Bonito,777,
BA,2904100,Boquira,1068,
BA,2904209,Botuporã,636,
BA,2904308,Brejões,692,
BA,2904407,Brejolândia,623,
BA,2904506,Brotas de Macaúbas,731,
BA,2904605,Brumado,4254,
BA,2904704,Buerarema,889,
BA,2904753,Buritirama,973,
BA,2904803,Caatiba,411,
BA,2904852,Cabaceiras do Paraguaçu,777,
BA,2904902,Cachoeira,1630,
BA,2905008,Caculé,1296,
BA,2905107,Caém,550,
BA,2905156,Caetanos,698,
BA,2905206,Caetité,2843,
BA,2905305,Cafarnaum,871,
BA,2905404,Cairu,846,
BA,2905503,Caldeirão Grande,633,
BA,2905602,Camacan,1137,
BA,2905701,Camaçari,15285,
BA,2905800,Camamu,1473,
BA,2905909,Campo Alegre de Lourdes,1665,
BA,2906006,Campo Formoso,3756,
BA,2906105,Canápolis,547,
BA,2906204,Canarana,1263,
BA,2906303,Canavieiras,1908,
BA,2906402,Candeal,507,
BA,2906501,Candeias,4068,
BA,2906600,Candiba,875,
BA,2906709,Cândido Sales,1514,
BA,2906808,Cansanção,2070,
BA,2906824,Canudos,966,
BA,2906857,Capela do Alto Alegre,710,
BA,2906873,Capim Grosso,1669,
BA,2906899,Caraíbas,622,
BA,2906907,Caravelas,1150,
BA,2907004,Cardeal da Silva,409,
BA,2907103,Carinhanha,1454,
BA,2907202,Casa Nova,3744,
BA,2907301,Castro Alves,1388,
BA,2907400,Catolândia,213,
BA,2907509,Catu,2813,
BA,2907558,Caturama,477,
BA,2907608,Central,1020,
BA,2907707,Chorrochó,539,
BA,2907806,Cícero Dantas,1999,
BA,2907905,Cipó,819,
BA,2908002,Coaraci,989,
BA,2908101,Cocos,1033,
BA,2908200,Conceição da Feira,1079,
BA,2908309,Conceição do Almeida,1051,
BA,2908408,Conceição do Coité,3575,
BA,2908507,Conceição do Jacuípe,1947,
BA,2908606,Conde,1166,
BA,2908705,Condeúba,1040,
BA,2908804,Contendas do Sincorá,226,
BA,2908903,Coração de Maria,1509,
BA,2909000,Cordeiros,498,
BA,2909109,Coribe,921,
BA,2909208,Coronel João Sá,965,
BA,2909307,Correntina,1835,
BA,2909406,Cotegipe,750,
BA,2909505,Cravolândia,253,
BA,2909604,Crisópolis,1108,
BA,2909703,Cristópolis,812,
BA,2909802,Cruz das Almas,3542,
BA,2909901,Curaçá,1754,
BA,2910008,Dário Meira,647,
BA,2910057,Dias d'Ávila,3770,
BA,2910107,Dom Basílio,835,
BA,2910206,Dom Macedo Costa,276,
BA,2910305,Elísio Medrado,516,
BA,2910404,Encruzilhada,1115,
BA,2910503,Entre Rios,1983,
BA,2910602,Esplanada,1582,
BA,2910701,Euclides da Cunha,3534,
BA,2910727,Eunápolis,5694,
BA,2910750,Fátima,1140,
BA,2910776,Feira da Mata,351,
BA,2910800,Feira de Santana,31327,
BA,2910859,Filadélfia,894,
BA,2910909,Firmino Alves,253,
BA,2911006,Floresta Azul,731,
