Sigla,Código,Município,2022,
BA,2900108,Abaíra,521,
BA,2900207,Abaré,828,
BA,2900306,Acajutiba,802,
BA,2900355,Adustina,821,
BA,2900405,Água Fria,807,
BA,2900504,Érico Cardoso,666,
BA,2900603,Aiquara,258,
BA,2900702,Alagoinhas,9906,
BA,2900801,Alcobaça,1418,
BA,2900900,Almadina,356,
BA,2901007,Amargosa,2104,
BA,2901106,Amélia Rodrigues,1569,
BA,2901155,América Dourada,843,
BA,2901205,Anagé,1512,
BA,2901304,Andaraí,679,
BA,2901353,Andorinha,923,
BA,2901403,Angical,750,
BA,2901502,Anguera,661,
BA,2901601,Antas,946,
BA,2901700,Antônio Cardoso,625,
BA,2901809,Antônio Gonçalves,619,
BA,2901908,Aporá,925,
BA,2901957,Apuarema,367,
BA,2902005,Aracatu,811,
BA,2902054,Araças,581,
BA,2902104,Araci,2602,
BA,2902203,Aramari,623,
BA,2902252,Arataca,498,
BA,2902302,Aratuípe,482,
BA,2902401,Aurelino Leal,619,
BA,2902500,Baianópolis,688,
BA,2902609,Baixa Grande,1096,
BA,2902658,Banzaê,653,
BA,2902708,Barra,2277,
BA,2902807,Barra da Estiva,1261,
BA,2902906,Barra do Choça,1908,
BA,2903003,Barra do Mendes,807,
BA,2903102,Barra do Rocha,334,
BA,2903201,Barreiras,8347,
BA,2903235,Barro Alto,777,
BA,2903276,Barrocas,799,
BA,2903300,Governador Lomanto Júnior,360,
BA,2903409,Belmonte,1100,
BA,2903508,Belo Campo,1123,
BA,2903607,Biritinga,862,
BA,2903706,Boa Nova,746,
BA,2903805,Boa Vista do Tupim,1004,
BA,2903904,Bom Jesus da Lapa,3443,
BA,2903953,Bom Jesus da Serra,494,
BA,2904001,Boninal,784,
BA,2904050,Bonito,758,
BA,2904100,Boquira,1179,
BA,2904209,Botuporã,696,
BA,2904308,Brejões,744,
BA,2904407,Brejolândia,567,
BA,2904506,Brotas de Macaúbas,665,
BA,2904605,Brumado,4471,
BA,2904704,Buerarema,960,
BA,2904753,Buritirama,887,
BA,2904803,Caatiba,383,
BA,2904852,Cabaceiras do Paraguaçu,888,
BA,2904902,Cachoeira,1874,
BA,2905008,Caculé,1362,
BA,2905107,Caém,633,
BA,2905156,Caetanos,610,
BA,2905206,Caetité,2959,
BA,2905305,Cafarnaum,913,
BA,2905404,Cairu,854,
BA,2905503,Caldeirão Grande,686,
BA,2905602,Camacan,1314,
BA,2905701,Camaçari,17158,
BA,2905800,Camamu,1657,
BA,2905909,Campo Alegre de Lourdes,1628,
BA,2906006,Campo Formoso,3890,
BA,2906105,Canápolis,543,
BA,2906204,Canarana,1361,
BA,2906303,Canavieiras,1844,
BA,2906402,Candeal,471,
BA,2906501,Candeias,4891,
BA,2906600,Candiba,887,
BA,2906709,Cândido Sales,1604,
BA,2906808,Cansanção,1989,
BA,2906824,Canudos,916,
BA,2906857,Capela do Alto Alegre,752,
BA,2906873,Capim Grosso,1831,
BA,2906899,Caraíbas,558,
BA,2906907,Caravelas,1138,
BA,2907004,Cardeal da Silva,424,
BA,2907103,Carinhanha,1496,
BA,2907202,Casa Nova,3568,
BA,2907301,Castro Alves,1521,
BA,2907400,Catolândia,182,
BA,2907509,Catu,3389,
BA,2907558,Caturama,482,
BA,2907608,Central,1014,
BA,2907707,Chorrochó,547,
